contig	transposase_seq	transposase_start	transposase_end	itr_cluster	itr_position
NODE_4_length_249131_cov_24.9008	NODE_4_length_249131_cov_24.9008_217	240107	241078	1019042	242386
NODE_4_length_249131_cov_24.9008	NODE_4_length_249131_cov_24.9008_218	241147	242130	1019042	242386
NODE_15_length_154692_cov_16.4808	NODE_15_length_154692_cov_16.4808_25	27051	27668	74822	26820
NODE_15_length_154692_cov_16.4808	NODE_15_length_154692_cov_16.4808_25	27051	27668	74822	26874
NODE_15_length_154692_cov_16.4808	NODE_15_length_154692_cov_16.4808_25	27051	27668	365818	27719
NODE_15_length_154692_cov_16.4808	NODE_15_length_154692_cov_16.4808_57	66839	67573	2488771	66910
NODE_15_length_154692_cov_16.4808	NODE_15_length_154692_cov_16.4808_57	66839	67573	2488771	67548
NODE_23_length_133282_cov_130.899	NODE_23_length_133282_cov_130.899_139	121489	122034	59238	120951
NODE_23_length_133282_cov_130.899	NODE_23_length_133282_cov_130.899_140	122022	122348	59238	120951
NODE_23_length_133282_cov_130.899	NODE_23_length_133282_cov_130.899_139	121489	122034	3764960	121036
NODE_23_length_133282_cov_130.899	NODE_23_length_133282_cov_130.899_140	122022	122348	3764960	121036
NODE_24_length_132592_cov_10.6724	NODE_24_length_132592_cov_10.6724_121	116914	117582	3195731	118844
NODE_26_length_126802_cov_15.7622	NODE_26_length_126802_cov_15.7622_20	12510	12947	6482612	15049
NODE_26_length_126802_cov_15.7622	NODE_26_length_126802_cov_15.7622_20	12510	12947	3765154	15166
NODE_30_length_123684_cov_14.0557	NODE_30_length_123684_cov_14.0557_22	34027	34974	2484421	33152
NODE_30_length_123684_cov_14.0557	NODE_30_length_123684_cov_14.0557_22	34027	34974	1442219	34902
NODE_30_length_123684_cov_14.0557	NODE_30_length_123684_cov_14.0557_78	118597	119475	581768	119634
NODE_61_length_94257_cov_10.0968	NODE_61_length_94257_cov_10.0968_4	2651	3085	1098208	4159
NODE_103_length_72408_cov_14.7864	NODE_103_length_72408_cov_14.7864_35	40047	40958	2488711	41928
NODE_159_length_59797_cov_10.447	NODE_159_length_59797_cov_10.447_5	7498	8340	5454995	5597
NODE_159_length_59797_cov_10.447	NODE_159_length_59797_cov_10.447_5	7498	8340	436658	10184
NODE_165_length_59175_cov_8.20232	NODE_165_length_59175_cov_8.20232_8	7087	8313	4377149	9775
NODE_165_length_59175_cov_8.20232	NODE_165_length_59175_cov_8.20232_8	7087	8313	4377149	9775
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_1	140	1039	3068580	955
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_1	140	1039	1870813	1401
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	97586	16057
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	97586	16057
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	97586	16373
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	568958	17131
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	97586	17367
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	1801923	18651
NODE_171_length_58749_cov_25.1812	NODE_171_length_58749_cov_25.1812_7	16432	17052	1066285	19074
NODE_175_length_58297_cov_54.7015	NODE_175_length_58297_cov_54.7015_5	3986	4864	1870897	2294
NODE_217_length_52487_cov_11.5654	NODE_217_length_52487_cov_11.5654_15	32547	33446	558404	34816
NODE_217_length_52487_cov_11.5654	NODE_217_length_52487_cov_11.5654_23	40775	42010	199781	39990
NODE_336_length_41557_cov_18.9026	NODE_336_length_41557_cov_18.9026_22	31235	32194	198330	31200
NODE_357_length_39827_cov_19.2921	NODE_357_length_39827_cov_19.2921_4	2372	3298	772357	4813
NODE_379_length_38528_cov_9.05838	NODE_379_length_38528_cov_9.05838_2	879	2021	5633444	497
NODE_379_length_38528_cov_9.05838	NODE_379_length_38528_cov_9.05838_2	879	2021	5633444	497
NODE_423_length_36049_cov_17.3255	NODE_423_length_36049_cov_17.3255_9	5392	6294	6635511	5548
NODE_439_length_35504_cov_50.1262	NODE_439_length_35504_cov_50.1262_12	21135	21317	364899	20599
NODE_439_length_35504_cov_50.1262	NODE_439_length_35504_cov_50.1262_12	21135	21317	96855	20772
NODE_439_length_35504_cov_50.1262	NODE_439_length_35504_cov_50.1262_12	21135	21317	2169324	21023
NODE_460_length_34527_cov_24.0691	NODE_460_length_34527_cov_24.0691_5	7084	7512	164353	6650
NODE_460_length_34527_cov_24.0691	NODE_460_length_34527_cov_24.0691_5	7084	7512	230268	7026
NODE_460_length_34527_cov_24.0691	NODE_460_length_34527_cov_24.0691_5	7084	7512	3195541	7063
NODE_510_length_32127_cov_5.10458	NODE_510_length_32127_cov_5.10458_24	24556	25500	3999987	27216
NODE_550_length_30640_cov_34.7582	NODE_550_length_30640_cov_34.7582_21	15211	16119	1262558	15164
NODE_550_length_30640_cov_34.7582	NODE_550_length_30640_cov_34.7582_21	15211	16119	1245183	15951
NODE_550_length_30640_cov_34.7582	NODE_550_length_30640_cov_34.7582_21	15211	16119	5417185	17459
NODE_627_length_28425_cov_14.4951	NODE_627_length_28425_cov_14.4951_15	23017	23952	3068580	23263
NODE_671_length_27384_cov_16.8216	NODE_671_length_27384_cov_16.8216_3	2184	3059	5601469	1934
NODE_712_length_26212_cov_48.246	NODE_712_length_26212_cov_48.246_19	25772	26152	3195629	24392
NODE_712_length_26212_cov_48.246	NODE_712_length_26212_cov_48.246_19	25772	26152	3114462	24525
NODE_717_length_26164_cov_21.0452	NODE_717_length_26164_cov_21.0452_23	14747	15121	1063289	13065
NODE_796_length_24049_cov_7.32054	NODE_796_length_24049_cov_7.32054_21	22802	24010	1421894	22635
NODE_796_length_24049_cov_7.32054	NODE_796_length_24049_cov_7.32054_21	22802	24010	1421894	22635
NODE_809_length_23813_cov_18.2485	NODE_809_length_23813_cov_18.2485_11	17471	17881	3195407	18953
NODE_809_length_23813_cov_18.2485	NODE_809_length_23813_cov_18.2485_11	17471	17881	3195407	18953
NODE_811_length_23753_cov_49.2654	NODE_811_length_23753_cov_49.2654_11	17665	18528	1002999	17013
NODE_811_length_23753_cov_49.2654	NODE_811_length_23753_cov_49.2654_11	17665	18528	1002999	18416
NODE_811_length_23753_cov_49.2654	NODE_811_length_23753_cov_49.2654_11	17665	18528	558544	19858
NODE_811_length_23753_cov_49.2654	NODE_811_length_23753_cov_49.2654_11	17665	18528	793800	19906
NODE_826_length_23499_cov_57.4472	NODE_826_length_23499_cov_57.4472_1	3	413	59775	449
NODE_855_length_22925_cov_46.454	NODE_855_length_22925_cov_46.454_22	20318	21208	585641	21347
NODE_904_length_21923_cov_13.1353	NODE_904_length_21923_cov_13.1353_3	6839	7372	1442219	7312
NODE_904_length_21923_cov_13.1353	NODE_904_length_21923_cov_13.1353_3	6839	7372	59115	7465
NODE_904_length_21923_cov_13.1353	NODE_904_length_21923_cov_13.1353_3	6839	7372	59115	7531
NODE_920_length_21406_cov_55.707	NODE_920_length_21406_cov_55.707_7	13470	14336	1871230	12206
NODE_933_length_21110_cov_13.6185	NODE_933_length_21110_cov_13.6185_9	2861	3778	4317388	3741
NODE_933_length_21110_cov_13.6185	NODE_933_length_21110_cov_13.6185_9	2861	3778	427807	3912
NODE_1012_length_19821_cov_11.2453	NODE_1012_length_19821_cov_11.2453_2	262	1470	5460395	2524
NODE_1012_length_19821_cov_11.2453	NODE_1012_length_19821_cov_11.2453_2	262	1470	5460395	2524
NODE_1012_length_19821_cov_11.2453	NODE_1012_length_19821_cov_11.2453_2	262	1470	5460395	2559
NODE_1012_length_19821_cov_11.2453	NODE_1012_length_19821_cov_11.2453_2	262	1470	5460395	2559
NODE_1127_length_17820_cov_38.6153	NODE_1127_length_17820_cov_38.6153_8	8339	9193	126871	8009
NODE_1127_length_17820_cov_38.6153	NODE_1127_length_17820_cov_38.6153_8	8339	9193	200819	8839
NODE_1345_length_15351_cov_10.5742	NODE_1345_length_15351_cov_10.5742_1	2	640	2901671	1108
NODE_1345_length_15351_cov_10.5742	NODE_1345_length_15351_cov_10.5742_1	2	640	2901671	1108
NODE_1352_length_15238_cov_47.5088	NODE_1352_length_15238_cov_47.5088_1	3	743	1015697	124
NODE_1352_length_15238_cov_47.5088	NODE_1352_length_15238_cov_47.5088_1	3	743	574163	321
NODE_1352_length_15238_cov_47.5088	NODE_1352_length_15238_cov_47.5088_1	3	743	1064975	532
NODE_1352_length_15238_cov_47.5088	NODE_1352_length_15238_cov_47.5088_1	3	743	127424	901
NODE_1397_length_14739_cov_135.596	NODE_1397_length_14739_cov_135.596_1	402	1373	1063242	416
NODE_1397_length_14739_cov_135.596	NODE_1397_length_14739_cov_135.596_1	402	1373	5303481	1183
NODE_1397_length_14739_cov_135.596	NODE_1397_length_14739_cov_135.596_1	402	1373	5043541	1815
NODE_1417_length_14601_cov_37.8259	NODE_1417_length_14601_cov_37.8259_13	13224	14162	5632303	13650
NODE_1429_length_14440_cov_37.6806	NODE_1429_length_14440_cov_37.6806_10	12921	13910	3720826	11870
NODE_1429_length_14440_cov_37.6806	NODE_1429_length_14440_cov_37.6806_10	12921	13910	3720826	11870
NODE_1525_length_13668_cov_21.0653	NODE_1525_length_13668_cov_21.0653_10	11012	11962	432252	10462
NODE_1525_length_13668_cov_21.0653	NODE_1525_length_13668_cov_21.0653_10	11012	11962	3195647	13428
